,endTime,artistName,trackName,msPlayed
157,2019-09-01 01:02,MAX,Love Me Less (feat. Quinn XCII),177669
158,2019-09-01 01:05,Quinn XCII,Stacy,168893
159,2019-09-01 01:07,Quinn XCII,Flare Guns,80938
160,2019-09-01 01:10,Quinn XCII,Straightjacket,206533
161,2019-09-01 01:13,Quinn XCII,Tough (feat. Noah Kahan),178133
162,2019-09-01 01:17,Quinn XCII,Always Been You,235720
163,2019-09-01 01:17,Quinn XCII,U & Us,22028
164,2019-09-01 01:20,Quinn XCII,Tough (feat. Noah Kahan),178133
165,2019-09-01 01:24,Quinn XCII,Always Been You,235720
166,2019-09-01 01:28,Quinn XCII,U & Us,226000
167,2019-09-01 01:31,Louis The Child,The City (with Quinn XCII),186046
168,2019-09-01 01:35,Quinn XCII,Another Day in Paradise,217220
169,2019-09-01 01:38,Avril Lavigne,Smile,209520
170,2019-09-01 01:42,Avril Lavigne,What the Hell,220706
171,2019-09-01 01:46,Post Malone,Over Now,246986
172,2019-09-01 01:49,Post Malone,Goodbyes (Feat. Young Thug),174960
173,2019-09-01 01:49,Cavetown,Talk to Me,26178
174,2019-09-01 01:53,blackbear,hot girl bummer,185093
175,2019-09-01 01:57,Avril Lavigne,Complicated,244506
176,2019-09-01 02:00,Wild Party,Violet,179093
177,2019-09-01 02:03,Dylan Gardner,Let's Get Started,207166
178,2019-09-01 02:06,Will Joseph Cook,Light Of The Day,198160
179,2019-09-01 02:10,Panic! At The Disco,The Ballad of Mona Lisa,226680
180,2019-09-01 02:13,Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),196413
181,2019-09-01 02:17,Frank Ocean,Novacane,209467
182,2019-09-01 02:17,The Regrettes,Come Through,1567
183,2019-09-01 02:21,All Time Low,Damned If I Do Ya (Damned If I Don't),1066
184,2019-09-01 02:21,Avril Lavigne,Freak Out,29534
185,2019-09-01 02:21,Avril Lavigne,What the Hell,220706
186,2019-09-01 02:24,Post Malone,Goodbyes (Feat. Young Thug),174960
187,2019-09-01 02:38,half•alive,The Fall,132192
188,2019-09-01 02:42,Avril Lavigne,Smile,209520
189,2019-09-01 02:45,Will Joseph Cook,Girls Like Me,192414
190,2019-09-01 02:50,Grouplove,Close Your Eyes and Count to Ten,288506
191,2019-09-01 02:53,Jonas Brothers,Sucker,181040
192,2019-09-01 02:56,Little Comets,Little Italy,170961
193,2019-09-01 02:59,blink-182,Give Me One Good Reason,175516
194,2019-09-01 02:59,Post Malone,Goodbyes (Feat. Young Thug),48800
195,2019-09-01 02:59,The 1975,So Far (It's Alright),960
196,2019-09-01 03:03,WALK THE MOON,Lose You Again,184170
197,2019-09-01 03:06,Avril Lavigne,What the Hell,220706
198,2019-09-01 03:07,A2M,I Got Bitches,73716
199,2019-09-01 03:11,Quinn XCII,Stacy - Acoustic,182186
200,2019-09-01 03:34,Avril Lavigne,What the Hell,117674
201,2019-09-01 03:49,Post Malone,Goodbyes (Feat. Young Thug),174960
202,2019-09-01 03:52,You Me At Six,Night People,183720
203,2019-09-01 03:53,Air Traffic Controller,The House,50922
204,2019-09-01 03:56,Father John Misty,Mr. Tillman,96981
205,2019-09-01 03:59,The Brobecks,Love At First Sight,3562
206,2019-09-01 17:49,Quinn XCII,Always Been You,235720
207,2019-09-01 17:53,Avril Lavigne,Smile,209520
208,2019-09-01 17:54,Fall Out Boy,Wilson (Expensive Mistakes),108158
209,2019-09-01 17:57,Avril Lavigne,What the Hell,156328
210,2019-09-01 18:01,Quinn XCII,Always Been You,235720
211,2019-09-01 19:47,Fall Out Boy,The Kids Aren't Alright,45488
212,2019-09-01 19:51,Quinn XCII,Always Been You,235720
213,2019-09-01 19:53,Foliage,It's Time,97102
214,2019-09-01 19:56,Post Malone,Goodbyes (Feat. Young Thug),174960
215,2019-09-01 19:59,Three Days Grace,Never Too Late,209333
216,2019-09-01 20:14,My Chemical Romance,Summertime,125810
217,2019-09-01 20:14,Avril Lavigne,Smile,2016
218,2019-09-01 20:18,Quinn XCII,Always Been You,235720
219,2019-09-01 20:21,Analog Rebellion,Nothing Is Wrong,2656
220,2019-09-01 20:21,SURAN,Sad Pain,46734
221,2019-09-01 20:25,Post Malone,Over Now,246986
222,2019-09-01 20:28,Fall Out Boy,American Beauty/American Psycho,195946
223,2019-09-01 20:32,Clean Bandit,Baby (feat. MARINA & Luis Fonsi),205440
224,2019-09-01 20:36,The Band CAMINO,Something To Hold On To,1898
225,2019-09-01 20:36,Chris Jobe,Thank You Internet,2111
226,2019-09-01 20:36,Fleet Foxes,Helplessness Blues,251694
227,2019-09-01 20:36,Weezer,Can't Knock The Hustle,3914
228,2019-09-01 20:39,Post Malone,Goodbyes (Feat. Young Thug),174960
229,2019-09-02 01:11,WALK THE MOON,I Can Lift a Car,244812
230,2019-09-02 01:11,Cavetown,Talk to Me,1568
231,2019-09-02 01:14,Avril Lavigne,What the Hell,220706
232,2019-09-02 01:18,Matt Nathanson,Same Drugs,207569
233,2019-09-02 01:21,Fall Out Boy,20 Dollar Nose Bleed,221326
234,2019-09-02 01:25,Weezer,Can't Knock The Hustle,220999
235,2019-09-02 01:28,Japanese Breakfast,Road Head,195106
236,2019-09-02 01:29,alt-J,Left Hand Free,10446
237,2019-09-02 01:32,Avril Lavigne,What the Hell,220706
238,2019-09-02 01:33,Fall Out Boy,Art Of Keeping Up Disappearances,63146
239,2019-09-02 01:37,Marianas Trench,B Team,231920
240,2019-09-02 01:37,Watsky,Roses,18011
241,2019-09-02 01:37,Patrick Stump,This City,1738
242,2019-09-02 01:41,blackbear,hot girl bummer,185093
243,2019-09-02 01:45,blackbear,Idfc,245172
244,2019-09-02 01:48,Youngblood Hawke,Dannyboy,186786
245,2019-09-02 01:50,The Band CAMINO,Something To Hold On To,6698
246,2019-09-02 01:50,Brendan Maclean,Stupid,105853
247,2019-09-02 01:53,Death Cab for Cutie,I Will Follow You Into The Dark,189186
248,2019-09-02 01:56,The Foundations,Build Me Up Buttercup,177533
